,op_max_wait_time,op_max_detour_factor,avg_fs,rq_type,op_reservation_module,op_rh_reservation_max_routes,op_short_term_horizon,op_module,sim_env,scenario_name,rq_file,demand_folder,demand_type,demand_scalar,op_fleet_composition,op_vr_control_func_dict,sample,config_str
0,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_0/IR_D+WT_FB_1/,line91_week/1.0/sample_0.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_0,IR_D+WT_FB_1
1,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_1/IR_D+WT_FB_1/,line91_week/1.0/sample_1.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_1,IR_D+WT_FB_1
2,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_2/IR_D+WT_FB_1/,line91_week/1.0/sample_2.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_2,IR_D+WT_FB_1
3,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_3/IR_D+WT_FB_1/,line91_week/1.0/sample_3.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_3,IR_D+WT_FB_1
4,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_4/IR_D+WT_FB_1/,line91_week/1.0/sample_4.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_4,IR_D+WT_FB_1
5,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_5/IR_D+WT_FB_1/,line91_week/1.0/sample_5.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_5,IR_D+WT_FB_1
6,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_6/IR_D+WT_FB_1/,line91_week/1.0/sample_6.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_6,IR_D+WT_FB_1
7,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_7/IR_D+WT_FB_1/,line91_week/1.0/sample_7.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_7,IR_D+WT_FB_1
8,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_8/IR_D+WT_FB_1/,line91_week/1.0/sample_8.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_8,IR_D+WT_FB_1
9,3600,75,1.0,BasicRequest,RollingHorizon,,,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/1.0/sample_9/IR_D+WT_FB_1/,line91_week/1.0/sample_9.csv,line91_week,on-demand,1.0,flex_bus:1,func_key:IRS_study_standard,sample_9,IR_D+WT_FB_1
